id,title,year,directors,writers,date_in_theaters,duration,genres,actors
6375,A Christmas Eve Conversation with Quentin Tarantino & Paul Thomas Anderson,2015,,,12/24/2015,41,"Short,Television","Paul Thomas Anderson,Pete Hammond,Quentin Tarantino"
6376,Threshold,1996,Alexander Singer,"Gene Roddenberry,Rick Berman",01/29/1996,46,"Science Fiction & Fantasy,Action & Adventure","Kate Mulgrew,Robert Beltran,Roxann Dawson"
6377,Unification I,1991,Les Landau,"Gene Roddenberry,Jeri Taylor",11/02/1991,45,"Action & Adventure,Mystery & Suspense","Patrick Stewart,Jonathan Frakes,LeVar Burton"
6378,The Man Who Came to Dinner,1942,William Keighley,"Julius J. Epstein,Philip G. Epstein",01/24/1942,112,"Romance,Comedy","Bette Davis,Ann Sheridan,Monty Woolley"
6379,World Enough and Time,2007,Marc Scott Zicree,"Gene Roddenberry,Michael Reaves",08/23/2007,50,"Science Fiction & Fantasy,Action & Adventure","James Cawley,Jeffery Quinn,John M. Kelley"
6380,Bart's New Friend,2015,Bob Anderson,"Matt Groening,James L. Brooks",01/11/2015,22,"Animation,Comedy","Dan Castellaneta,Julie Kavner,Nancy Cartwright"
6381,Arnold Schwarzenegger/Mike Birbiglia/Major Lazer feat. M,2015,,,06/24/2015,41,"Musical & Performing Arts,Television,Comedy","Jimmy Fallon,Arnold Schwarzenegger,Mike Birbiglia"
6382,I Won't Be Home for Christmas,2014,Mark Kirkland,"Matt Groening,James L. Brooks",12/07/2014,22,"Animation,Comedy","Dan Castellaneta,Julie Kavner,Nancy Cartwright"
6383,Triassic Attack,2010,Colin Ferguson,"Russ Friedman,Tripp Reed",11/27/2010,84,"Science Fiction & Fantasy,Horror","Steven Brand,Kirsty Mitchell,Raoul Max Trujillo"
6384,Drop the Dog,2009,,,2009,3,"Drama,Short",Emilia Clarke
6385,Terminator Genisys,2015,Mike Stoklasa,"Jay Bauman,Mike Stoklasa",07/06/2015,31,"Television,Comedy","Mike Stoklasa,Jay Bauman"
6386,Before the Storm,2000,Reza Parsa,"Mikael Bengtsson,Reza Parsa",09/22/2000,106,"Drama,Crime","Per Graffman,Maria Lundqvist,Sasha Becker"
6387,Ninja Terminator,2012,Brad Jones,Brad Jones,03/02/2012,16,Comedy,"Brad Jones,Jillian Zurawski"
6388,Boys on the Beach,1999,Djamel Bensalah,"Djamel Bensalah,Gilles Laurent",01/20/1999,90,Comedy,"Jamel Debbouze,Stphane Soo Mongo,Lornt Deutsch"
6389,Die Hard 3: Bruce Willis Interview,1995,,,1995,6,Short,"Graham Greene,Samuel L. Jackson,Terry Leonard"
6390,Frhliche Weihnachten,2007,Tobi Baumann,"Chris Geletneky,Morten Khne",12/19/2007,112,Comedy,"Anke Engelke,Bastian Pastewka"
6391,Mr. Plinkett's the Star Wars Awakens Review,2016,Mike Stoklasa,Mike Stoklasa,10/02/2016,105,"Television,Comedy","Rich Evans,Tim Higgins,Mike Stoklasa"
6392,Jurassic Park: Operation Genesis,2003,,Michael Crichton,03/26/2003,,Action & Adventure,"Christopher Kirby,Marcella Russo,Charles 'Bud' Tingwell"
6393,John Goodman/Joanna Newsom/Matt Cameron,2016,Alexander J. Vietmeier,"Jermaine Affonso,Alex Baze",03/16/2016,41,"Television,Comedy","Seth Meyers,John Goodman,Joanna Newsom"
6394,Episode #26.5,2001,,Jakob Stegelmann,09/24/2001,25,,Jakob Stegelmann
6395,An American Mary in London,2012,,,11/05/2012,,"Short,Documentary","Katharine Isabelle,Jen Soska,Sylvia Soska"
6396,Superfast!,2015,"Jason Friedberg,Aaron Seltzer","Jason Friedberg,Aaron Seltzer",04/03/2015,99,Comedy,"Alex Ashbaugh,Dale Pavinski,Lili Mirojnick"
6397,Charlotte's Web,2006,Gary Winick,"Susannah Grant,Karey Kirkpatrick",12/15/2006,97,"Science Fiction & Fantasy,Kids & Family,Comedy","Dakota Fanning,Julia Roberts,Oprah Winfrey"
6398,Taken,2009,Pierre Morel,"Luc Besson,Robert Mark Kamen",01/30/2009,93,"Thriller,Action & Adventure","Liam Neeson,Maggie Grace,Famke Janssen"
6399,Taken 2,2012,Olivier Megaton,"Luc Besson,Robert Mark Kamen",10/05/2012,92,"Thriller,Crime,Action & Adventure","Liam Neeson,Famke Janssen,Maggie Grace"
6400,The Three Musketeers,1974,Richard Lester,"George MacDonald Fraser,Alexandre Dumas pre",03/29/1974,106,Action & Adventure,"Oliver Reed,Raquel Welch,Richard Chamberlain"
6401,The Italian Job,2003,F. Gary Gray,"Troy Kennedy-Martin,Donna Powers",05/30/2003,111,"Thriller,Crime,Action & Adventure","Donald Sutherland,Mark Wahlberg,Edward Norton"
6402,A Good Day to Die Hard,2015,Mathew Buck,Mathew Buck,06/28/2015,44,Comedy,Mathew Buck
6403,A Good Day to Die Hard,2013,John Moore,"Skip Woods,Roderick Thorp",02/14/2013,98,"Thriller,Action & Adventure","Bruce Willis,Jai Courtney,Sebastian Koch"
6404,Death Wish 3,1985,Michael Winner,"Don Jakoby,Brian Garfield",11/01/1985,92,"Drama,Crime,Action & Adventure","Charles Bronson,Deborah Raffin,Ed Lauter"
6405,The Order of the Dragon,2013,Deran Sarafian,"Brian McGreevy,Lee Shipman",04/19/2013,52,"Thriller,Mystery & Suspense,Horror","Famke Janssen,Bill Skarsgrd,Landon Liboiron"
6406,G.I. Joe: Retaliation,2013,Jon M. Chu,"Rhett Reese,Paul Wernick",03/28/2013,110,"Science Fiction & Fantasy,Action & Adventure","Dwayne Johnson,Channing Tatum,Adrianne Palicki"
6407,Howl's Moving Castle,2005,Hayao Miyazaki,"Hayao Miyazaki,Diana Wynne Jones",06/17/2005,119,"Kids & Family,Animation,Action & Adventure","Chieko Baish,Takuya Kimura,Tatsuya Gashin"
6408,Escape Plan,2013,Mikael Hfstrm,"Miles Chapman,Jason Keller",10/18/2013,115,"Crime,Action & Adventure,Mystery & Suspense","Sylvester Stallone,Arnold Schwarzenegger,50 Cent"
6409,Star Trek Into Darkness,2013,,,05/17/2013,30,News,Leonard Maltin
6410,After Earth,2013,,,05/31/2013,30,News,Leonard Maltin
6411,Death Race,2008,Paul W.S. Anderson,"Paul W.S. Anderson,Paul W.S. Anderson",08/22/2008,105,"Science Fiction & Fantasy,Thriller,Action & Adventure","Jason Statham,Joan Allen,Tyrese Gibson"
6412,Hairdos & Holidays,2011,David Paymer,"Leila Gerstein,David Babcock",12/05/2011,42,"Drama,Romance,Comedy","Rachel Bilson,Jaime King,Cress Williams"
6413,Pirates of the Caribbean: On Stranger Tides,2011,Rob Marshall,"Ted Elliott,Terry Rossio",05/20/2011,136,"Science Fiction & Fantasy,Action & Adventure","Johnny Depp,Penlope Cruz,Ian McShane"
6414,Industrial Light & Magic: Creating the Impossible,2010,Leslie Iwerks,"Leslie Iwerks,Jeff Stephenson",11/12/2010,60,Documentary,"Tom Cruise,George Lucas,Steven Spielberg"
6415,Tarzan & the Lost City,2012,Eric Rodriguez,Eric Rodriguez,03/18/2012,,"Action & Adventure,Comedy",Eric Rodriguez
6416,The Panic Womb,2014,Paolo Barzman,"Toby Whithouse,Jeremy Carver",02/03/2014,44,"Drama,Science Fiction & Fantasy,Horror","Sam Witwer,Meaghan Rath,Sam Huntington"
6417,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Gore Verbinski,"Ted Elliott,Terry Rossio",07/09/2003,143,"Science Fiction & Fantasy,Action & Adventure","Johnny Depp,Geoffrey Rush,Orlando Bloom"
6418,Indiana Jones and the Last Crusade,1989,Steven Spielberg,"Jeffrey Boam,George Lucas",05/24/1989,127,"Science Fiction & Fantasy,Action & Adventure","Harrison Ford,Sean Connery,Alison Doody"
6419,Sullivan & Son,2012,"Steve Byrne,Rob Long",,07/19/2012,30,Comedy,"Steve Byrne,Brian Doyle-Murray,Christine Ebersole"
6420,Ice Cube/Chris D'Elia/Hari Kondabolu,2014,,"Josh Comers,Dan Cronin",06/16/2014,60,"Musical & Performing Arts,Television,Comedy","Conan O'Brien,Andy Richter,Ice Cube"
6421,Jack White/Amber Stevens,2014,,"Josh Comers,Dan Cronin",06/11/2014,60,"Musical & Performing Arts,Television,Comedy","Conan O'Brien,Andy Richter,Jack White"
6422,"Lock, Stock, Some Smoking Barrels and Burton Guster's Goblet of Fire",2014,Steve Franks,"Steve Franks,Kell Cahoon",01/08/2014,47,"Crime,Mystery & Suspense,Comedy","James Roday,Dul Hill,Timothy Omundson"
6423,Life After Pi,2014,Scott Leberecht,"Scott Leberecht,Christina Lee Storm",2014,30,"Drama,Short,Documentary","Lois Anderson,Saraswathi Vani Balgam,Lee Berger"
6424,Dallas Buyers Club,2013,Jean-Marc Valle,"Craig Borten,Melisa Wallack",11/22/2013,117,"Drama,Biography","Matthew McConaughey,Jennifer Garner,Jared Leto"
6425,Shutter Island,2010,Martin Scorsese,"Laeta Kalogridis,Dennis Lehane",02/19/2010,138,"Thriller,Mystery & Suspense","Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo"
6426,Films That Suck,,Marvin Baker,"Marvin Baker,Douglas Fontaine",,83,Comedy,"B.J. Brown,J.D. Hart,Gaby Hoffmann"
6427,Great Movie Mistakes,2010,Simon Dinsell,"Neil Gibbons,Rob Gibbons",04/04/2010,180,"Documentary,Comedy",Robert Webb
6428,The Benchwarmers,2006,Dennis Dugan,"Allen Covert,Nick Swardson",04/07/2006,80,"Romance,Sports & Fitness,Comedy","David Spade,Jon Heder,Rob Schneider"
6429,And the Cronuts,2013,Don Scardino,"Michael Patrick King,Whitney Cummings",10/21/2013,21,Comedy,"Kat Dennings,Beth Behrs,Garrett Morris"
6430,Million Dollar Baby,2005,Clint Eastwood,"Paul Haggis,F.X. Toole",01/28/2005,132,"Drama,Sports & Fitness","Hilary Swank,Clint Eastwood,Morgan Freeman"
6431,Silver Linings Playbook,2012,David O. Russell,"David O. Russell,Matthew Quick",12/25/2012,122,"Drama,Romance,Comedy","Bradley Cooper,Jennifer Lawrence,Robert De Niro"
6432,Kaun Banega Crorepati?,2000,,,July 2000,60,Television,"Amitabh Bachchan,Shah Rukh Khan,Saif Ali Khan"
6433,Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro G. Irritu,"Alejandro G. Irritu,Nicols Giacobone",11/14/2014,119,"Drama,Romance,Comedy","Michael Keaton,Zach Galifianakis,Edward Norton"
6434,The Social Network,2010,David Fincher,"Aaron Sorkin,Ben Mezrich",10/01/2010,120,"Drama,Biography","Jesse Eisenberg,Andrew Garfield,Justin Timberlake"
6435,Black Swan,2010,Darren Aronofsky,"Mark Heyman,Andres Heinz",12/17/2010,108,"Drama,Thriller","Natalie Portman,Mila Kunis,Vincent Cassel"
6436,The King's Speech,2010,Tom Hooper,David Seidler,12/25/2010,118,"Drama,Biography","Colin Firth,Geoffrey Rush,Helena Bonham Carter"
6437,Beremennyy,2011,Sarik Andreasyan,Sarik Andreasyan,09/08/2011,84,"Science Fiction & Fantasy,Comedy","Lyudmila Artemeva,Dmitriy Dyuzhev,Ekaterina Ershova"
6438,Tot eshchyo Karloson!,2012,Sarik Andreasyan,"Sarik Andreasyan,Pavel Karnaukhov",03/15/2012,80,,"Mikhail Galustyan,Fedya Smirnov,Igor Vernik"
6439,Nasha Russia. Yaytsa sudby,2010,Gleb Orlov,"Semyon Slepakov,Garik Martirosyan",01/21/2010,85,Comedy,"Nikolay Baskov,Mikhail Bogdasarov,Boris Estrin"
6440,Precious,2009,Lee Daniels,"Geoffrey Fletcher,Sapphire",11/20/2009,110,Drama,"Gabourey Sidibe,Mo'Nique,Paula Patton"
6441,Great Movie Mistakes IV,2012,Chris Howe,"Toby Davies,Jonathan Dryden Taylor",12/19/2012,,"Documentary,Comedy",Robert Webb
6442,Divergent,2014,Neil Burger,"Evan Daugherty,Vanessa Taylor",03/21/2014,139,"Science Fiction & Fantasy,Action & Adventure,Mystery & Suspense","Shailene Woodley,Theo James,Kate Winslet"
6443,Pirates of the Caribbean: At World's End,2007,Gore Verbinski,"Ted Elliott,Terry Rossio",05/25/2007,169,"Science Fiction & Fantasy,Action & Adventure","Johnny Depp,Orlando Bloom,Keira Knightley"
6444,The Hunger Games: Mockingjay - Part 2,2015,Francis Lawrence,"Peter Craig,Danny Strong",11/20/2015,137,"Science Fiction & Fantasy,War,Thriller","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth"
6445,The Hunger Games: Mockingjay - Part 1,2014,Francis Lawrence,"Peter Craig,Danny Strong",11/21/2014,123,"Science Fiction & Fantasy,War,Thriller","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth"
6446,Territory,2015,Aleksandr Melnik,"Mikhail Aleksandrov,Oleg Kuvayev",04/16/2015,157,"Drama,Action & Adventure","Vladislav Abashin,Konstantin Balakirev,Egor Beroev"
6447,Gorko!,2013,Zhora Kryzhovnikov,"Aleksey Kazakov,Zhora Kryzhovnikov",10/24/2013,100,Comedy,"Yuliya Aleksandrova,Anastasiya Dobakhova,Egor Koreshkov"
6448,What Men Talk About,2010,Dmitriy Dyachenko,"Leonid Barats,Sergey Petreykov",03/04/2010,93,Comedy,"Leonid Barats,Aleksandr Demidov,Kamil Larin"
6449,Gitler kaput!,2008,Marius Balchunas,Marius Balchunas,09/18/2008,95,"Action & Adventure,Comedy","Pavel Derevyanko,Anna Semenovich,Yuriy Galtsev"
6450,"Bystree, chem kroliki",2014,Dmitriy Dyachenko,"Leonid Barats,Rostislav Khait",01/01/2014,99,Comedy,"Ekaterina Kuznetsova,Leonid Barats,Rostislav Khait"
6451,Kukhnya,2012,,,10/22/2012,,"Drama,Comedy","Mark Bogatyrev,Elena Podkaminskaya,Elena Chernyavskaya"
6452,The Best Movie,2008,Kirill Kuzin,"Artak Gasparyan,Garik Kharlamov",01/24/2008,110,Comedy,"Garik Kharlamov,Mikhail Galustyan,Armen Dzhigarkhanyan"
6453,Zaletchiki,2014,Kirill Kuzin,Lidiya Raevskaya,03/20/2014,84,Comedy,"Ilya Glinnikov,Vano Tugushi,Ekaterina Kuznetsova"
6454,Liev Schreiber/Elle Fanning/Anthony Sadler/Vince Staples,2015,Dave Diomedi,"A.D. Miles,Jonathan Adler",09/01/2015,41,"Musical & Performing Arts,Television,Comedy","Jimmy Fallon,Liev Schreiber,Elle Fanning"
6455,John Wick: Chapter 2,2017,Chad Stahelski,Derek Kolstad,02/10/2017,,"Thriller,Crime,Action & Adventure","Ruby Rose,Keanu Reeves,Bridget Moynahan"
6456,Samyy luchshiy film 2,2009,Oleg Fomin,"Artak Gasparyan,Mikhail Gulikov",01/22/2009,80,Comedy,"Garik Kharlamov,Oleg Vereshchagin,Dmitriy Khrustalyov"
6457,Message from the King,2016,Fabrice Du Welz,"Oliver Butcher,Stephen Cornwell",2016,102,Thriller,"Teresa Palmer,Luke Evans,Tom Felton"
6458,Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Joachim Rnning,Espen Sandberg","Jeff Nathanson,Ted Elliott",05/26/2017,,"Action & Adventure,Comedy","Johnny Depp,Geoffrey Rush,Javier Bardem"
6459,Dog Eat Dog,2016,Paul Schrader,"Edward Bunker,Matthew Wilder",11/11/2016,93,"Drama,Crime,Thriller","Nicolas Cage,Willem Dafoe,Christopher Matthew Cook"
6460,Salt and Fire,2016,Werner Herzog,"Tom Bissell,Werner Herzog",11/17/2016,98,Thriller,"Michael Shannon,Gael Garca Bernal,Werner Herzog"
6461,The Ritual,,Gore Verbinski,Gore Verbinski,,28,Short,"Eric Beer,Clint Curtis,Tammy Lynch"
6462,Untitled Gore Verbinski Project,,,,,,Drama,
6463,Spaceless,,,,,,Science Fiction & Fantasy,
6464,Massacre on Aisle 12,2016,"Jim Klock,William Mark McCullough","Chad Ridgely,A.J. Via",11/05/2016,,"Horror,Comedy","Michael Buonomo,Chad Ridgely,Jim Klock"
6465,Twin Peaks,2017,"Mark Frost,David Lynch",,2017,60,"Drama,Crime,Mystery & Suspense","Mdchen Amick,Dana Ashbrook,Sheryl Lee"
6466,The Mexican,2001,Gore Verbinski,J.H. Wyman,03/02/2001,123,"Crime,Action & Adventure,Comedy","Brad Pitt,Julia Roberts,James Gandolfini"
6467,Hugh Jackman/Shaquille O'Neal/Talib Kweli,2015,,,10/05/2015,41,"Musical & Performing Arts,Television,Comedy","Jimmy Fallon,Hugh Jackman,Shaquille O'Neal"
6468,The Weather Man,2005,Gore Verbinski,Steve Conrad,10/28/2005,102,"Drama,Comedy","Nicolas Cage,Hope Davis,Nicholas Hoult"
6469,Team Thor,2016,Taika Waititi,"Stan Lee,Taika Waititi",07/23/2016,4,"Science Fiction & Fantasy,Short,Comedy","Chris Hemsworth,Mark Ruffalo,Daley Pearson"
6470,Macbeth,2015,Justin Kurzel,"Todd Louiso,Jacob Koskoff",12/11/2015,113,"Drama,War","Michael Fassbender,Marion Cotillard,Jack Madigan"
6471,Assassin's Creed 2,,,,,,"History,Action & Adventure",
6472,Assassin's Creed: Ascendance,2010,Laurent Bernier,"Ethan Petty,Jean Guesdon",11/16/2010,8,"Short,Animation,Action & Adventure","Arthur Holden,Roger Craig Smith,Carlos Ferro"
6473,Assassin's Creed: Lineage,2009,,,10/26/2009,36,Action & Adventure,"Romano Orzari,Manuel Tadros,Jesse Rath"
6474,Iron Man,2015,,"Spencer Gilbert,Dan Murrell",07/07/2015,,Comedy,Jon Bailey
6475,Basmati Blues,2017,Dan Baron,"Dan Baron,Dan Baron",2017,,"Romance,Musical & Performing Arts,Comedy","Brie Larson,Scott Bakula,Donald Sutherland"
6476,Untitled Marvel Project,2020,,,05/01/2020,,"Science Fiction & Fantasy,Action & Adventure",
6477,Avengers: Age of Ultron,2015,,"Spencer Gilbert,Dan Murrell",09/29/2015,,Comedy,Jon Bailey
6478,The Thomas Crown Affair,,,,,,"Drama,Romance,Crime",
6479,Just Mercy,,,,,,Drama,
6480,Deathlok,,,"Rich Buckler,Raven Metzner",,,"Science Fiction & Fantasy,Action & Adventure",
6481,Inhumans,,,"Joe Robert Cole,Jack Kirby",,,"Science Fiction & Fantasy,Action & Adventure",
6482,Ant-Man and the Wasp,2018,Peyton Reed,"Andrew Barrer,Gabriel Ferrari",07/06/2018,,"Science Fiction & Fantasy,Action & Adventure","Evangeline Lilly,Paul Rudd,Michael Douglas"
6483,Untitled Avengers Movie,2019,"Anthony Russo,Joe Russo","Jack Kirby,Christopher Markus",05/03/2019,,"Science Fiction & Fantasy,Action & Adventure","Evangeline Lilly,Josh Brolin"
6484,Transformers 8,,,"Matt Holloway,Art Marcum",,,"Science Fiction & Fantasy,Action & Adventure",
6485,World War Z 2,2017,David Fincher,"Max Brooks,Dennis Kelly",06/09/2017,,"Science Fiction & Fantasy,Action & Adventure,Horror",Brad Pitt
6486,Transformers 7,2019,,"Matt Holloway,Art Marcum",06/28/2019,,"Science Fiction & Fantasy,Action & Adventure",
6487,Transformers 6,2018,,"Matt Holloway,Art Marcum",06/08/2018,,"Science Fiction & Fantasy,Action & Adventure",
6488,Power Rangers,2017,Dean Israelite,"John Gatins,Matt Sazama",03/24/2017,,"Science Fiction & Fantasy,Action & Adventure","Naomi Scott,Becky G.,Dacre Montgomery"
6489,The Mummy,2017,Alex Kurtzman,Jon Spaihts,06/09/2017,,"Science Fiction & Fantasy,Action & Adventure","Sofia Boutella,Tom Cruise,Russell Crowe"
6490,Fast 8,2017,F. Gary Gray,"Chris Morgan,Gary Scott Thompson",04/14/2017,,"Thriller,Crime,Action & Adventure","Jason Statham,Jordana Brewster,Charlize Theron"
6491,War for the Planet of the Apes,2017,Matt Reeves,"Mark Bomback,Pierre Boulle",07/14/2017,,"Drama,Action & Adventure","Chad Rook,Judy Greer,Woody Harrelson"
6492,Katie Lowes/Adam Shapiro,2016,,,08/23/2016,,Television,"Michelle Collins,Sean Lowe,Katie Lowes"
6493,Diablo Cody,2016,,,08/09/2016,,Television,"Michelle Collins,Sean Lowe,Diablo Cody"
6494,Super Cafe: Batman v Superman - It's On!,2015,,,04/21/2015,,"Animation,Comedy",Daniel Baxter
6495,After Paradise,2015,,,08/03/2015,,Television,"Chris Harrison,Michelle Collins,Jenny Mollen"
6496,Edge of Tomorrow,2014,Joe Vargas,Joe Vargas,06/06/2014,11,Comedy,Joe Vargas
6497,Bloodlust!,1994,Trace Beaulieu,"Joel Hodgson,Michael J. Nelson",09/03/1994,97,"Science Fiction & Fantasy,Comedy","Trace Beaulieu,Michael J. Nelson,Jim Mallon"
6498,Get Smart,1965,"Mel Brooks,Buck Henry",,09/18/1965,25,"Action & Adventure,Comedy","Don Adams,Barbara Feldon,Edward Platt"
6499,Kojak,1973,Abby Mann,,03/08/1973,60,"Drama,Crime,Action & Adventure","Telly Savalas,Dan Frazer,Kevin Dobson"
6500,Mannix,1967,"Bruce Geller,Richard Levinson,William Link",,09/16/1967,60,"Drama,Crime,Action & Adventure","Mike Connors,Gail Fisher,Ward Wood"
6501,The Man from U.N.C.L.E.,1964,Sam Rolfe,,09/22/1964,50,"Crime,Action & Adventure","Robert Vaughn,David McCallum,Leo G. Carroll"
6502,Secret Agent,1965,,,04/03/1965,49,"Crime,Action & Adventure","Patrick McGoohan,Peter Madden,Earl Cameron"
6503,The Wild Wild West,1965,Michael Garrison,,09/17/1965,50,"Science Fiction & Fantasy,Action & Adventure","Robert Conrad,Ross Martin,Dick Cangey"
6504,Cannon,1971,Edward Hume,,09/14/1971,60,"Crime,Action & Adventure,Mystery & Suspense","William Conrad,Patrick Culliton,Tom Pittman"
6505,The Fugitive,1963,Roy Huggins,,09/17/1963,51,"Drama,Crime,Action & Adventure","David Janssen,William Conrad,Barry Morse"
6506,The Streets of San Francisco,1972,Edward Hume,,09/16/1972,60,"Drama,Crime,Action & Adventure","Karl Malden,Michael Douglas,Reuben Collins"
6507,I Spy,1965,,,09/15/1965,51,"Action & Adventure,Comedy","Robert Culp,Bill Cosby,Kenneth Tobey"
6508,Hawaii Five-O,1968,Leonard Freeman,,09/20/1968,60,"Drama,Crime,Mystery & Suspense","Jack Lord,James MacArthur,Kam Fong"
6509,Mission Impossible Versus the Mob,1969,Paul Stanley,"Allan Balter,William Read Woodfield",December 1969,,Action & Adventure,"Peter Graves,Martin Landau,Barbara Bain"
6510,The Photographer,1967,Lee H. Katzin,"Bruce Geller,William Read Woodfield",12/17/1967,60,"Crime,Action & Adventure","Peter Graves,Martin Landau,Barbara Bain"
6511,Ironside,1967,Collier Young,,09/14/1967,60,"Drama,Crime,Mystery & Suspense","Raymond Burr,Don Galloway,Don Mitchell"
6512,Mission: Impossible,1988,Bruce Geller,,10/23/1988,47,"Crime,Action & Adventure","Peter Graves,Thaao Penghlis,Antony Hamilton"
6513,The Killer,1970,Paul Krasny,"Bruce Geller,Arthur Weiss",09/19/1970,60,"Crime,Action & Adventure","Peter Graves,Leonard Nimoy,Lesley Ann Warren"
6514,The Mind of Stefan Miklos,1969,Robert Butler,"Bruce Geller,Paul Playdon",01/12/1969,60,"Crime,Action & Adventure","Peter Graves,Martin Landau,Barbara Bain"
6515,Howl-a-Rooney,2014,Andy Fickman,"John D. Beck,Ron Hart",04/13/2014,24,"Drama,Kids & Family,Comedy","Dove Cameron,Joey Bragg,Tenzing Norgay Trainor"
6516,Captain America: The Winter Soldier,2014,Brandon Bentley,Brandon Bentley,04/02/2014,,Comedy,"Brandon Bentley,Jesse Fresco"
6517,The Smiling Man,2014,Adrian Huff,"Keoni Chavez,Adrian Huff",12/05/2014,10,"Short,Horror","Andrew Bartek,Jamie Doublet,Levi Doublet"
6518,Sneakers,1992,Phil Alden Robinson,"Phil Alden Robinson,Lawrence Lasker",09/11/1992,126,"Drama,Crime,Comedy","Robert Redford,Dan Aykroyd,Sidney Poitier"
6519,Pryde of the X-Men,,Ray Lee,Larry Parr,,22,"Science Fiction & Fantasy,Short,Action & Adventure","Michael Bell,Earl Boen,Andi Chapman"
6520,Die Another Day,2002,Lee Tamahori,"Ian Fleming,Neal Purvis",11/22/2002,133,"Thriller,Action & Adventure","Pierce Brosnan,Halle Berry,Rosamund Pike"
6521,Jonathan Sadowski vs. Lenny Jacobson,2015,Matthew Cohen,Adam Dubowsky,08/27/2015,22,Television,"Justin Cousson,Lenny Jacobson,Zachary Levi"
6522,Felicia Day vs. Dexter Darden,2015,Matthew Cohen,Adam Dubowsky,08/13/2015,22,Television,"Zachary Levi,Dexter Darden,Felicia Day"
6523,Geeks Who Drink,2015,,,07/16/2015,,Television,"Zachary Levi,Felicia Day,John DiMaggio"
6524,Penn & Teller Have a Blast,2016,,,07/27/2016,90,Television,"Mahdi Gilbert,Alyson Hannigan,Penn Jillette"
6525,Won't Get Fooled Again...?,2016,,"Matt Donnelly,Peter Adam Golden",07/11/2016,90,Television,"Nathan Burton,Shawn Farquhar,Alyson Hannigan"
6526,Penn & Teller: Fool Us,2014,"Peter Adam Golden,Andrew J. Golder,Penn Jillette",,07/30/2014,90,Television,"Penn Jillette,Teller,Jonathan Ross"
