108,113,858,The Birth of a Nation,"Biography,Drama,History",120,58.0,5050.0,Nate Parker,2016,The Birth of a Nation,Drama,119.0,76.0,12753,"Nate Parker,",2016
109,113,2513,The Birth of a Nation,"Biography,Drama,History",120,58.0,5050.0,Nate Parker,2016,Beasts of No Nation,Drama,120.0,84.0,7272,"Cary Joji Fukunaga,",2015
110,115,14852,The Terminal,"Comedy,Drama,Romance",128,73.0,308909.0,Steven Spielberg,2004,The Terminal,"Comedy,Drama",128.0,68.0,407160,"Steven Spielberg,",2004
111,116,218,Ben-Hur,"Action,Adventure,Drama",125,57.0,9702.0,Timur Bekmambetov,2016,Ben-Hur,"Classics,Drama",124.0,72.0,17100,"Timur Bekmambetov,",2016
112,117,9357,Captain Phillips,"Biography,Drama,Mystery",134,79.0,328658.0,Paul Greengrass,2013,Captain Phillips,Drama,134.0,84.0,151065,"Paul Greengrass,",2013
113,118,11967,The Da Vinci Code,Mystery,149,66.0,320298.0,Ron Howard,2006,The Da Vinci Code,"Action,Adventure,Drama,Mystery",149.0,64.0,760660,"Ron Howard,",2006
114,120,11963,Angels & Demons,Mystery,138,67.0,212546.0,Ron Howard,2009,Angels & Demons,"Drama,Mystery",139.0,68.0,531186,"Ron Howard,",2009
115,128,98,Dear Zindagi,"Drama,Romance",0,,,Gauri Shinde,2016,Dear Zindagi,Comedy,150.0,82.0,252,"Gauri Shinde,",2016
116,129,2185,Diamond Island,Drama,101,69.0,58.0,Davy Chou,2016,Diamond Island,"Art House,International",101.0,,5,"Davy Chou,",2016
117,129,14511,Diamond Island,Drama,101,69.0,58.0,Davy Chou,2016,Small Island,"Art House,International,Drama,Television",,,5,"John Alexander,",2009
118,131,5250,Yourself and Yours,Drama,86,66.0,70.0,Sang-soo Hong,2016,Yourself and Yours,"Art House,International,Drama",86.0,,13,"Sang-soo Hong,",2016
119,134,2132,Personal Shopper,"Drama,Mystery",105,65.0,745.0,Olivier Assayas,2017,Personal Shopper,"Art House,International,Drama,Mystery",105.0,70.0,303,"Olivier Assayas,",2016
120,135,5864,The Office,"Comedy,Drama",30,86.0,69679.0,,2003,Head Office,"Comedy,Television",92.0,52.0,1778,"Ken Finkleman,",1986
121,136,651,The Girl with All the Gifts,"Drama,Horror,Mystery",111,73.0,2594.0,Colm McCarthy,2016,The Girl With All the Gifts,Drama,,76.0,1493,"Colm McCarthy,",2016
122,138,24,Hell or High Water,"Crime,Drama",102,82.0,13983.0,David Mackenzie,2016,Hell or High Water,Drama,102.0,84.0,27217,"David Mackenzie,",2016
123,139,54,Amanda Knox,"Documentary,Crime",92,70.0,4218.0,"Rod Blackhurst,Brian McGinn",2016,Amanda Knox,Documentary,92.0,72.0,668,"Rod Blackhurst,Brian McGinn,",2016
124,140,950,My Scientology Movie,Documentary,99,68.0,2444.0,John Dower,2017,My Scientology Movie,"Art House,International,Documentary",99.0,,1091,"John Dower,",2017
125,141,168,The Beatles: Eight Days a Week - The Touring Years,"Documentary,Musical",137,81.0,2193.0,Ron Howard,2016,The Beatles: Eight Days a Week - The Touring Years,Documentary,,84.0,6936,"Ron Howard,",2016
126,142,10581,Oasis: Live by the Sea,Musical,82,87.0,203.0,Nigel Dick,1995,Oasis: Live by the Sea,"Musical,Performing Arts",82.0,88.0,49,"Nigel Dick,",1995
127,143,952,David Brent: Life on the Road,"Comedy,Musical",96,68.0,2832.0,Ricky Gervais,2017,David Brent: Life on the Road,Comedy,100.0,,1322,"Ricky Gervais,",2017
128,145,1277,Colossal,"Action,Sci-Fi,Mystery",110,69.0,215.0,Nacho Vigalondo,2016,Colossal,,110.0,80.0,190,"Nacho Vigalondo,",2016
129,146,10579,Oasis... There and Then,Musical,85,90.0,397.0,"Dick Carruthers,Mark Szaszy",1996,Oasis: ...There and Then,"Documentary,Musical,Performing Arts",80.0,92.0,52,"Dick Carruthers,",1996
130,147,844,Under the Shadow,Horror,84,75.0,1058.0,Babak Anvari,2016,Under The Shadow,"Horror,Mystery",84.0,78.0,1394,"Babak Anvari,",2016
131,149,2638,After the Storm,Drama,117,78.0,552.0,Hirokazu Koreeda,2016,The Ice Storm,Drama,113.0,72.0,34238,"Ang Lee,",1997
132,149,6210,After the Storm,Drama,117,78.0,552.0,Hirokazu Koreeda,2016,After the Deluge,Drama,103.0,,22,"Brendan Maher,",2003
133,150,10400,Graduation,Drama,128,78.0,1484.0,Cristian Mungiu,2016,Graduation Night,Comedy,,52.0,54,"Alpesh Patel,",2003
134,151,108,Elle,"Drama,Mystery",130,74.0,4591.0,Paul Verhoeven,2016,Elle,"Art House,International,Drama,Mystery",130.0,74.0,2508,"Paul Verhoeven,",2016
135,152,8773,Tokyo Godfathers,"Animation,Adventure,Comedy",92,79.0,19736.0,"Satoshi Kon,Shgo Furuya",2003,Tokyo Godfathers,"Animation,Art House,International,Comedy,Drama,Science Fiction,Fantasy",92.0,82.0,13565,"Satoshi Kon,Shgo Furuya,",2003
136,154,5752,Merry Christmas Mr. Lawrence,"Drama,War",123,73.0,10795.0,Nagisa shima,1983,"Merry Christmas, Baby!",,120.0,,1,"Rhonda Baraka,",2016
137,155,93,Toni Erdmann,"Comedy,Drama",162,83.0,3378.0,Maren Ade,2016,Toni Erdmann,"Art House,International,Drama",162.0,,453,"Maren Ade,",2016
138,157,106,Manchester by the Sea,Drama,135,86.0,959.0,Kenneth Lonergan,2016,Manchester by the Sea,Drama,135.0,94.0,11365,"Kenneth Lonergan,",2016
139,159,12530,Teen Titans,"Animation,Action,Adventure",30,77.0,17238.0,,2003,Teen Mothers,Drama,91.0,,23,"Boaz Davidson,",1980
140,160,2973,Star Wars: Episode V - The Empire Strikes Back,"Action,Adventure,Fantasy",124,88.0,852462.0,Irvin Kershner,1980,Star Wars: Episode V - The Empire Strikes Back,"Action,Adventure,Mystery,Science Fiction,Fantasy",124.0,82.0,1048481,"Irvin Kershner,",1980
141,161,33,Star Wars: Episode IV - A New Hope,"Action,Adventure,Fantasy",121,87.0,925517.0,George Lucas,1977,Star Wars: Episode IV - A New Hope,"Action,Adventure,Mystery,Science Fiction,Fantasy",125.0,82.0,854008,"George Lucas,",1977
142,161,1059,Star Wars: Episode IV - A New Hope,"Action,Adventure,Fantasy",121,87.0,925517.0,George Lucas,1977,Star Wars: Episode III - Revenge of the Sith,"Action,Adventure,Science Fiction,Fantasy",140.0,62.0,33677262,"George Lucas,",2005
143,161,1061,Star Wars: Episode IV - A New Hope,"Action,Adventure,Fantasy",121,87.0,925517.0,George Lucas,1977,Star Wars: Episode II - Attack of the Clones,"Cult Movies,Science Fiction,Fantasy",143.0,66.0,846735,"George Lucas,",2002
144,161,1364,Star Wars: Episode IV - A New Hope,"Action,Adventure,Fantasy",121,87.0,925517.0,George Lucas,1977,Star Wars: Episode I - The Phantom Menace,"Cult Movies,Kids,Family,Science Fiction,Fantasy",131.0,66.0,1201329,"George Lucas,",1999
145,161,9254,Star Wars: Episode IV - A New Hope,"Action,Adventure,Fantasy",121,87.0,925517.0,George Lucas,1977,Star Wars: Episode III - Revenge of the Sith,"Action,Adventure,Science Fiction,Fantasy",140.0,62.0,33677262,"George Lucas,",2005
146,161,14958,Star Wars: Episode IV - A New Hope,"Action,Adventure,Fantasy",121,87.0,925517.0,George Lucas,1977,Star Wars: Episode VIII,"Action,Adventure,Science Fiction,Fantasy",,,3455,"Rian Johnson,",2017
147,162,1364,Star Wars: Episode VI - Return of the Jedi,"Action,Adventure,Fantasy",131,84.0,694698.0,Richard Marquand,1983,Star Wars: Episode I - The Phantom Menace,"Cult Movies,Kids,Family,Science Fiction,Fantasy",131.0,66.0,1201329,"George Lucas,",1999
148,162,5035,Star Wars: Episode VI - Return of the Jedi,"Action,Adventure,Fantasy",131,84.0,694698.0,Richard Marquand,1983,Star Wars: Episode VI - Return of the Jedi,"Action,Adventure,Mystery,Science Fiction,Fantasy",133.0,80.0,1006227,"Richard Marquand,",1983
149,163,33,Star Wars: Episode II - Attack of the Clones,"Action,Adventure,Fantasy",142,67.0,471359.0,George Lucas,2002,Star Wars: Episode IV - A New Hope,"Action,Adventure,Mystery,Science Fiction,Fantasy",125.0,82.0,854008,"George Lucas,",1977
150,163,1059,Star Wars: Episode II - Attack of the Clones,"Action,Adventure,Fantasy",142,67.0,471359.0,George Lucas,2002,Star Wars: Episode III - Revenge of the Sith,"Action,Adventure,Science Fiction,Fantasy",140.0,62.0,33677262,"George Lucas,",2005
151,163,1061,Star Wars: Episode II - Attack of the Clones,"Action,Adventure,Fantasy",142,67.0,471359.0,George Lucas,2002,Star Wars: Episode II - Attack of the Clones,"Cult Movies,Science Fiction,Fantasy",143.0,66.0,846735,"George Lucas,",2002
